Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
QRVO,Qorvo Inc,112.15,4.17,3.86%,113.53,110.64,1551800,4/24/2024
RCL,Royal Caribbean Cruises Ltd,136.73,0.06,0.04%,138.13,136.25,3002600,4/24/2024
REG,Regency Centers Corp,59.61,-0.47,-0.78%,60.13,59.57,1137600,4/24/2024
REGN,Regeneron Pharmaceuticals,906.54,-0.78,-0.09%,915.7,904.41,373700,4/24/2024
RF,Regions Financial Corp,19.77,0.42,2.17%,19.83,19.13,11041500,4/24/2024
RHI,Robert Half Inc,71.5,-0.03,-0.04%,72.72,71.18,1627800,4/24/2024
RJF,Raymond James Financial,127.54,0.4,0.31%,128.24,126.8925,1324200,4/24/2024
RL,Ralph Lauren Corp,168.21,0.13,0.08%,170.92,167.24,1069500,4/24/2024
RMD,Resmed Inc,183.78,-0.44,-0.24%,186.88,183.02,973400,4/24/2024
ROK,Rockwell Automation Inc,275.56,-0.77,-0.28%,279.38,274.7,600400,4/24/2024
ROL,Rollins Inc,42.87,0.22,0.52%,42.95,42.34,4283500,4/24/2024
ROP,Roper Industries,538.01,-1.61,-0.30%,538.71,533.85,631500,4/24/2024
ROST,Ross Stores Inc,132.61,-0.48,-0.36%,133.39,131.92,2366700,4/24/2024
RSG,Republic Services,191.99,1.38,0.72%,192.59,190.15,1135800,4/24/2024
RTX,Rtx Corp,101.02,-0.36,-0.36%,101.89,100.01,7722000,4/24/2024
RVTY,Revvity Inc,102.68,-0.82,-0.79%,104.05,101.64,632000,4/24/2024
SBAC,SBA Communications,199,0.7,0.35%,199.97,195.19,808700,4/24/2024
SBUX,Starbucks Corp,88.75,0.88,1.00%,88.94,86.95,7183800,4/24/2024
SCHW,The Charles Schwab Corp,75.19,-0.04,-0.05%,75.55,74.36,6038800,4/24/2024
SHW,Sherwin-Williams Company,303.73,1.37,0.45%,304.19,300.355,2287800,4/24/2024
SJM,J.M. Smucker Company,118.55,0.85,0.72%,119.0425,115.91,1335900,4/24/2024
SLB,Schlumberger N.V.,49.11,-0.44,-0.89%,49.71,48.615,10180300,4/24/2024
SMCI,Super Micro Computer,754.72,-7.14,-0.94%,806.99,737.05,6740300,4/24/2024
SNA,Snap-On Inc,273.59,2.25,0.83%,275.14,271.36,298900,4/24/2024
SNPS,Synopsys Inc,527.52,0.02,0.00%,540.73,527.28,1430900,4/24/2024
SO,Southern Company,73.91,0.66,0.90%,74.22,72.11,5661700,4/24/2024
SOLV,Solventum Corporation,63.54,0.04,0.06%,64.175,62.78,1055100,4/24/2024
SPG,Simon Property Group,142.81,-0.97,-0.67%,143.73,141.62,1110100,4/24/2024
SPGI,S&P Global Inc,413.28,0.02,0.00%,414.58,408.95,3357500,4/24/2024
SRE,Sempra,72.04,0.52,0.73%,72.25,70.52,2367000,4/24/2024
STE,Steris Corp,202.8,-3.19,-1.55%,205.0975,202.44,492000,4/24/2024
STLD,Steel Dynamics Inc,129.92,-4.24,-3.16%,144.91,128.75,2557000,4/24/2024
STT,State Street Corp,74.29,-0.1,-0.13%,74.75,73.6,8642000,4/24/2024
STX,Seagate Technology Hldgs Plc,87.11,0.58,0.67%,91,83.34,7274500,4/24/2024
STZ,Constellation Brands Inc,261.55,-0.11,-0.04%,261.985,257.64,1075300,4/24/2024
SWK,Stanley Black & Decker Inc,90.27,-0.47,-0.52%,91.11,89.81,1282500,4/24/2024
SWKS,Skyworks Solutions,101.12,1.82,1.83%,102.64,100.35,1904500,4/24/2024
SYF,Synchrony Financial,45.02,2.16,5.04%,45.16,42.7,9881300,4/24/2024
SYK,Stryker Corp,336.85,1.94,0.58%,342.595,334.2,1515600,4/24/2024
SYY,Sysco Corp,77.29,0.33,0.43%,77.53,76.6,1765200,4/24/2024
T,AT&T Inc,16.81,0.31,1.88%,17.03,16.38,74197800,4/24/2024
TAP,Molson Coors Brewing Company,63.7,-0.48,-0.75%,64.18,61.7,2444400,4/24/2024
TDG,Transdigm Group Inc,1241.62,-0.78,-0.06%,1255.59,1213.785,222400,4/24/2024
TDY,Teledyne Technologies Inc,362.5,-44.56,-10.95%,382.99,355.41,1097300,4/24/2024
TECH,Bio-Techne Cp,63.52,-0.17,-0.27%,63.94,62.61,984800,4/24/2024
TEL,Te Connectivity Ltd,140,-3.23,-2.26%,142.6,138.37,5767300,4/24/2024
TER,Teradyne Inc,100.7,0.85,0.85%,102.67,99.47,2437300,4/24/2024
TFC,Truist Financial Corp,38.79,-0.05,-0.13%,39.21,38.41,7109000,4/24/2024
TFX,Teleflex Inc,211.17,0.06,0.03%,212.495,209.74,201400,4/24/2024
TGT,Target Corp,165.34,-1.17,-0.70%,166.54,164.79,2631300,4/24/2024
TJX,TJX Companies,95.28,0.78,0.83%,95.49,93.83,6897200,4/24/2024
TMO,Thermo Fisher Scientific Inc,577.39,2.8,0.49%,586.4623,565.23,2035000,4/24/2024
TMUS,T-Mobile US,164.18,0.93,0.57%,164.55,162.16,4713600,4/24/2024
TPR,Tapestry Inc,40.03,0.59,1.50%,40.07,39.03,4829200,4/24/2024
TRGP,Targa Resources,116.9,0.89,0.77%,116.99,115,1367100,4/24/2024
TRMB,Trimble Navigation,59.51,-0.18,-0.30%,59.89,58.97,1061000,4/24/2024
TROW,T Rowe Price Group,111.06,-0.88,-0.79%,111.68,110.24,1053900,4/24/2024
TRV,The Travelers Companies Inc,213.43,-0.89,-0.42%,214.585,212.5,1129200,4/24/2024
TSCO,Tractor Supply Company,258.13,2.17,0.85%,258.33,250.9,1321600,4/24/2024
TSLA,Tesla Inc,162.13,17.45,12.06%,167.97,157.51,181178000,4/24/2024
TSN,Tyson Foods,61.32,0.34,0.56%,61.6,60,1797100,4/24/2024
TT,Trane Technologies Plc,296.49,1.4,0.47%,303.4,293.39,908000,4/24/2024
TTWO,Take-Two Interactive,142.83,1.11,0.78%,142.93,140.82,1024800,4/24/2024
TXN,Texas Instruments,174.81,9.34,5.64%,179.49,173.61,13965800,4/24/2024
TXT,Textron Inc,94.01,-1.27,-1.33%,95.855,93.63,1521900,4/24/2024
TYL,Tyler Technologies,419,0.56,0.13%,421.545,415.24,308300,4/24/2024
UAL,United Airlines Holdings Inc,52.67,-1.36,-2.52%,53.95,52.11,10034200,4/24/2024
UBER,Uber Technologies Inc,69.36,-1.44,-2.03%,70.22,67.365,27515500,4/24/2024
UDR,United Dominion Realty Trust,37.89,0.62,1.66%,38.185,36.87,2891900,4/24/2024
UHS,Universal Health Services,165.9,0.99,0.60%,166.685,163.48,1213500,4/24/2024
ULTA,Ulta Beauty Inc,410.55,-8.72,-2.08%,417.87,407.16,866400,4/24/2024
UNH,Unitedhealth Group Inc,487.3,1.12,0.23%,488.86,480.71,3724400,4/24/2024
UNP,Union Pacific Corp,231.98,-4.31,-1.82%,234.13,229.32,2951100,4/24/2024
UPS,United Parcel Service,146.62,-2.25,-1.51%,147.96,143.78,5284700,4/24/2024
URI,United Rentals,655.19,-6.13,-0.93%,672.39,648.755,641100,4/24/2024
USB,U.S. Bancorp,41.61,0.64,1.56%,41.725,40.43,6550200,4/24/2024
V,Visa Inc,275.02,0.91,0.33%,283,274.49,8807100,4/24/2024
VICI,Vici Properties Inc,28.43,-0.15,-0.52%,28.73,28.15,5648700,4/24/2024
VLO,Valero Energy Corp,167,-0.54,-0.32%,167.59,165.06,2350700,4/24/2024
VLTO,Veralto Corporation,92.4,-1.32,-1.41%,95.4,88.74,3370000,4/24/2024
VMC,Vulcan Materials Company,256.4,-2.94,-1.13%,259.96,253.76,568000,4/24/2024
VRSK,Verisk Analytics Inc,222.25,0,0.00%,222.58,219.65,1008900,4/24/2024
VRSN,Verisign Inc,185.55,0.43,0.23%,185.82,181.01,686500,4/24/2024
VRTX,Vertex Pharmaceutic,400.76,-4.15,-1.02%,406.83,399.29,806400,4/24/2024
VTR,Ventas Inc,43.61,0.05,0.11%,43.78,42.88,1490800,4/24/2024
VTRS,Viatris Inc,11.55,0.19,1.67%,11.58,11.25,7593900,4/24/2024
VZ,Verizon Communications Inc,39.49,-0.21,-0.53%,39.66,38.935,15946600,4/24/2024
WAB,Wabtec Corp,163.38,14.9,10.04%,167.485,160.87,3772600,4/24/2024
WAT,Waters Corp,310.25,-3.05,-0.97%,316.06,304.97,530900,4/24/2024
WBA,Walgreens Boots Alliance,17.81,-0.24,-1.33%,17.98,17.62,10269700,4/24/2024
WBD,Discovery Inc Series A,8.38,-0.06,-0.71%,8.4,8.26,20324100,4/24/2024
WDC,Western Digital Cp,69.55,-0.37,-0.53%,72.13,68.16,7400400,4/24/2024
WEC,Wisconsin Energy Corp,82.63,0.67,0.82%,82.87,80.85,2034400,4/24/2024
WELL,Welltower Inc,93.7,0.77,0.83%,94,91.91,2692200,4/24/2024
WFC,Wells Fargo & Company,60.6,-0.34,-0.56%,60.95,60.05,19731500,4/24/2024
WM,Waste Management,210.43,1.65,0.79%,210.71,207.59,1875875,4/24/2024
WMB,Williams Companies,39.25,0.47,1.21%,39.3,38.33,5667707,4/24/2024
WMT,Walmart Inc,59.87,0.78,1.32%,60.04,58.81,18529138,4/24/2024
WRB,W.R. Berkley Corp,77.85,-1.23,-1.56%,78.65,76.86,2863973,4/24/2024
WRK,Westrock Company,47.48,0.38,0.81%,47.53,46.99,1846549,4/24/2024
WST,West Pharmaceutical Services,385.73,-4.47,-1.15%,394.42,385.45,757268,4/24/2024
WTW,Willis Towers Watson Public Ltd,264.48,0.8,0.30%,265.19,261.82,480500,4/24/2024
WY,Weyerhaeuser Company,31.54,-0.17,-0.54%,31.805,31.295,3019175,4/24/2024
WYNN,Wynn Resorts Ltd,97.06,-1.76,-1.78%,98.81,96.19,1256600,4/24/2024
XEL,XCEL Energy Inc,55.33,0.06,0.11%,55.64,54.15,4614400,4/24/2024
XOM,Exxon Mobil Corp,121.05,0.02,0.02%,121.255,119.39,12101161,4/24/2024
XYL,Xylem Inc,130.67,-0.05,-0.04%,132.23,129.58,1053013,4/24/2024
YUM,Yum! Brands,141.81,1.71,1.22%,141.82,139.265,1909457,4/24/2024
ZBH,Zimmer Biomet Holdings,121.17,-0.35,-0.29%,122.415,121.01,978733,4/24/2024
ZBRA,Zebra Technologies,277.53,0.97,0.35%,280.92,274.24,322600,4/24/2024
ZTS,Zoetis Inc Cl A,150.88,1.32,0.88%,151.74,148.75,3640463,4/24/2024
