Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CPRT,Copart Inc,54.93,0.62,1.14%,55.04,54.2,3717900,4/24/2024
CPT,Camden Property Trust,98.86,0.26,0.26%,99.43,97.12,1088900,4/24/2024
CRL,Charles River Laboratories Intl,239.43,-0.7,-0.29%,244.56,237.44,705100,4/24/2024
CRM,Salesforce Inc,276.19,-0.49,-0.18%,278.9393,274.11,3938800,4/24/2024
CSCO,Cisco Systems Inc,48.35,0.03,0.06%,48.38,47.92,14828400,4/24/2024
CSGP,Costar Group Inc,91.95,7.33,8.66%,93.94,88.83,4739600,4/24/2024
CSX,CSX Corp,33.67,-1.05,-3.02%,34.43,33.41,23767900,4/24/2024
CTAS,Cintas Corp,664.13,-2.2,-0.33%,666.88,660.78,752000,4/24/2024
CTLT,Catalent Inc,55.95,-0.08,-0.14%,56.07,55.79,2031600,4/24/2024
CTRA,Coterra Energy Inc,28.46,0.33,1.17%,28.52,27.89,5236400,4/24/2024
CTSH,Cognizant Tech Sol,67.52,-0.25,-0.37%,67.96,67.17,4256000,4/24/2024
CTVA,Corteva Inc,54.77,-0.41,-0.74%,55.065,54.3,1811600,4/24/2024
CVS,CVS Corp,67.77,-0.73,-1.07%,68.21,67.48,8651900,4/24/2024
CVX,Chevron Corp,163.57,0.72,0.44%,163.84,161.446,7610300,4/24/2024
CZR,Caesars Entertainment Inc,38.48,-0.64,-1.64%,39.32,37.98,3323600,4/24/2024
D,Dominion Energy Inc,51.23,0.56,1.11%,51.36,49.615,3538400,4/24/2024
DAL,Delta Air Lines Inc,47.94,-1.29,-2.62%,49.27,47.74,10329400,4/24/2024
DAY,Dayforce Inc,59.7,0.42,0.71%,59.74,58.07,1613400,4/24/2024
DD,Dupont Denemours Inc,73.96,0.16,0.22%,73.97,73.12,1563700,4/24/2024
DE,Deere & Company,394.62,-2.59,-0.65%,397.76,392.37,986700,4/24/2024
DECK,Deckers Outdoor Corp,851.71,22.28,2.69%,857.425,831.96,368400,4/24/2024
DFS,Discover Financial Services,129.02,-0.22,-0.17%,130.575,127.58,1805500,4/24/2024
DG,Dollar General Corp,143.16,0.43,0.30%,143.485,140.625,1322900,4/24/2024
DGX,Quest Diagnostics Inc,137.55,0.85,0.62%,138.32,134.95,1566600,4/24/2024
DHI,D.R. Horton,146.12,-1.91,-1.29%,149.95,144.99,2474200,4/24/2024
DHR,Danaher Corp,250.41,-2.7,-1.07%,254.09,247.98,3344900,4/24/2024
DIS,Walt Disney Company,113.92,0.21,0.18%,114.18,113.14,6157200,4/24/2024
DLR,Digital Realty Trust,140.61,2.08,1.50%,140.865,137.64,1614800,4/24/2024
DLTR,Dollar Tree Inc,122.39,-0.17,-0.14%,123.06,120.41,1738800,4/24/2024
DOC,Healthpeak Properties Inc,18.63,0.18,0.98%,18.74,18.09,5997000,4/24/2024
DOV,Dover Corp,171.44,-0.85,-0.49%,173.21,170.51,1287400,4/24/2024
DOW,Dow Inc,56.98,0.24,0.42%,57.22,56.38,4954600,4/24/2024
DPZ,Domino's Pizza Inc,487.71,6.55,1.36%,488.84,478.04,719300,4/24/2024
DRI,Darden Restaurants,156.61,0.71,0.46%,156.92,155.33,969900,4/24/2024
DTE,Dte Energy Company,111.55,1.43,1.30%,111.8,108.62,1473700,4/24/2024
DUK,Duke Energy Corp,98.96,0.76,0.77%,99.19,96.68,2652600,4/24/2024
DVA,Davita Healthcare Partners Inc,132.74,-1.17,-0.87%,134.285,132.73,472800,4/24/2024
DVN,Devon Energy Corp,52.1,-0.47,-0.89%,52.41,51.76,6470100,4/24/2024
DXCM,Dexcom Inc,137.87,3.87,2.89%,138.5,132.47,3238200,4/24/2024
EA,Electronic Arts Inc,128.14,1,0.79%,128.26,126.36,1483400,4/24/2024
EBAY,Ebay Inc,51.18,-0.07,-0.14%,51.6,50.78,5088300,4/24/2024
ECL,Ecolab Inc,220.78,1.12,0.51%,221.11,218.81,710400,4/24/2024
ED,Consolidated Edison Company,93.43,0.59,0.64%,93.75,91.32,2001600,4/24/2024
EFX,Equifax Inc,225.71,1.25,0.56%,227.75,221.53,1239500,4/24/2024
EG,Everest Re Group,365.74,-2.93,-0.79%,367.275,362.18,335900,4/24/2024
EIX,Edison International,70.82,-0.03,-0.04%,71.15,69.83,3702500,4/24/2024
EL,Estee Lauder Companies,147.36,-1.62,-1.09%,148.4499,145.42,1840500,4/24/2024
ELV,Elevance Health Inc,533.73,0.81,0.15%,534.95,527.05,916000,4/24/2024
EMN,Eastman Chemical Company,96.36,-0.44,-0.45%,97.05,95.92,1071000,4/24/2024
EMR,Emerson Electric Company,109.62,-0.15,-0.14%,110.5,108.65,1876900,4/24/2024
ENPH,Enphase Energy Inc,107.17,-6.31,-5.56%,118.24,105.93,10885600,4/24/2024
EOG,Eog Resources,135.6,0.8,0.59%,135.69,133.255,1968200,4/24/2024
EPAM,Epam Systems Inc,245,-2.8,-1.13%,248.81,242.315,805400,4/24/2024
EQIX,Equinix Inc,756.84,-5.06,-0.66%,768.25,754.53,776000,4/24/2024
EQR,Equity Residential,64.61,1.52,2.41%,65.21,62.2406,3166200,4/24/2024
EQT,Eqt Corp,39.43,1.45,3.82%,39.8505,37.88,11735000,4/24/2024
ES,Eversource Energy,60.84,0.49,0.81%,61.05,59.44,2087200,4/24/2024
ESS,Essex Property Trust,247.74,5.59,2.31%,248.95,239.37,396500,4/24/2024
ETN,Eaton Corp,318.79,5.95,1.90%,325.41,313.95,3550400,4/24/2024
ETR,Entergy Corp,106.46,-0.72,-0.67%,107.08,103.49,2667800,4/24/2024
ETSY,Etsy Inc,66.87,-1.48,-2.17%,68.49,65.64,2640900,4/24/2024
EVRG,Evergy Inc,52.48,0.23,0.44%,52.71,51.49,2108200,4/24/2024
EW,Edwards Lifesciences Corp,88.61,0.86,0.98%,89.17,87.7,3234900,4/24/2024
EXC,Exelon Corp,37.77,0.21,0.56%,37.9,36.8,5061300,4/24/2024
EXPD,Expeditors Intl,112.87,-0.2,-0.18%,113.795,111.98,1377300,4/24/2024
EXPE,Expedia Group Inc,135.8,0.78,0.58%,139,134.46,1776300,4/24/2024
EXR,Extra Space Storage Inc,134.64,1.36,1.02%,136,131.02,1147400,4/24/2024
F,Ford Motor Company,12.95,0.01,0.08%,13.0499,12.78,74510400,4/24/2024
FANG,Diamondback Energy,205.24,0.87,0.43%,206.65,202.92,1289400,4/24/2024
FAST,Fastenal Company,67.74,0.23,0.34%,68.21,66.79,3087300,4/24/2024
FCX,Freeport-Mcmoran Inc,48.24,0.25,0.52%,48.46,47.375,11838300,4/24/2024
FDS,Factset Research Systems Inc,422.83,2.89,0.69%,423.96,417.03,298300,4/24/2024
FDX,Fedex Corp,266.07,-5.68,-2.09%,271.33,263.58,1696500,4/24/2024
FE,Firstenergy Corp,38.3,0.18,0.47%,38.38,37.69,2491200,4/24/2024
FFIV,F5 Inc,182.35,2.12,1.18%,182.46,179.4,497800,4/24/2024
FI,Fiserv Inc,152.25,-3.14,-2.02%,155.88,151.9,2487300,4/24/2024
FICO,Fair Isaac and Company,1193.03,4.8401,0.41%,1218.12,1178.0699,177900,4/24/2024
FIS,Fidelity National Information Services,70.81,-1.09,-1.52%,71.79,70.78,4249200,4/24/2024
FITB,Fifth Third Bancorp,37.23,0.17,0.46%,37.28,36.53,3634100,4/24/2024
FMC,FMC Corp,58.4,-0.25,-0.43%,58.69,57.69,1011400,4/24/2024
FOX,Fox Corp Cl B,29.31,0.13,0.45%,29.35,28.93,1141600,4/24/2024
FOXA,Fox Corp Cl A,31.71,0,0.00%,31.84,31.38,2394700,4/24/2024
FRT,Federal Realty Investment Trust,103.6,0.73,0.71%,103.78,101.51,763100,4/24/2024
FSLR,First Solar Inc,177.48,-2.62,-1.45%,183.78,174.93,2085700,4/24/2024
FTNT,Fortinet Inc,65.45,0.65,1.00%,65.8,64.59,3817100,4/24/2024
FTV,Fortive Corp,76.05,-4.65,-5.76%,78.565,72.52,6373800,4/24/2024
GD,General Dynamics Corp,281.11,-11.61,-3.97%,290.365,274.315,4023500,4/24/2024
GE,General Electric Company,159.19,-3.43,-2.11%,162.34,155.5601,10415900,4/24/2024
GEHC,Ge Healthcare Technologies Inc,86.72,0.48,0.56%,87.28,85.8,2020200,4/24/2024
GEN,Gen Digital Inc,20.83,0.15,0.73%,20.86,20.51,2371900,4/24/2024
GEV,Ge Vernova Inc,146.18,-1.65,-1.12%,149.9,144.35,4684600,4/24/2024
GILD,Gilead Sciences Inc,67.08,0.05,0.07%,67.18,66.36,8467000,4/24/2024
GIS,General Mills,71.61,0.79,1.12%,71.87,69.95,4446000,4/24/2024
GL,Globe Life Inc,78.6,2.84,3.75%,82.4785,75.85,6469800,4/24/2024
GLW,Corning Inc,31.52,-0.01,-0.03%,31.71,31.32,3203400,4/24/2024
GM,General Motors Company,45.08,-0.02,-0.04%,45.31,44.62,15013800,4/24/2024
GNRC,Generac Holdings Inc,137.18,1.08,0.79%,139.7,135.3052,770300,4/24/2024
GOOG,Alphabet Cl C,161.1,1.18,0.74%,161.39,158.82,19485600,4/24/2024
GOOGL,Alphabet Cl A,159.13,0.87,0.55%,159.57,157.16,22779100,4/24/2024
GPC,Genuine Parts Company,161.8,-1.58,-0.97%,163.73,161.22,1161600,4/24/2024
GPN,Global Payments Inc,127.47,0.6,0.47%,127.66,125.535,1581300,4/24/2024
GRMN,Garmin Ltd,142.79,0.28,0.20%,143.48,142.2,612500,4/24/2024
GS,Goldman Sachs Group,423.04,-0.96,-0.23%,424.58,419.61,1575900,4/24/2024
GWW,W.W. Grainger,958.32,2.53,0.26%,965.24,946.05,295900,4/24/2024
HAL,Halliburton Company,38.72,0.13,0.34%,39.25,38.01,7778100,4/24/2024
HAS,Hasbro Inc,65.03,6.89,11.85%,66.38,63.18,7253400,4/24/2024
HBAN,Huntington Bcshs,13.76,0.13,0.95%,13.78,13.46,12659500,4/24/2024
HCA,Hca Holdings Inc,319.02,-0.41,-0.13%,322,317.7,835500,4/24/2024
HD,Home Depot,333.01,-5.99,-1.77%,337.55,331.82,4029100,4/24/2024
HES,Hess Corp,159.13,2.19,1.40%,159.22,155.98,2363500,4/24/2024
HIG,Hartford Financial Services Group,99.86,-0.17,-0.17%,100.11,99.25,1881900,4/24/2024
HII,Huntington Ingalls Industries,275.84,1.37,0.50%,276.43,272.79,518200,4/24/2024
HLT,Hilton Inc,204.7,7.66,3.89%,210.34,204.23,3141500,4/24/2024
HOLX,Hologic Inc,76.71,-0.48,-0.62%,77.38,76.5,963100,4/24/2024
HON,Honeywell International Inc,194.79,-1.37,-0.70%,195.72,193.26,3578200,4/24/2024
HPE,Hewlett Packard Enterprise Comp,16.93,0.1,0.59%,17.045,16.785,10856000,4/24/2024
HPQ,HP Inc,28.1,0.43,1.55%,28.59,27.425,14491900,4/24/2024
HRL,Hormel Foods Corp,35.6,0.46,1.31%,35.68,34.61,2208900,4/24/2024
HSIC,Henry Schein Inc,73.21,0.45,0.62%,73.4,72.17,824000,4/24/2024
HST,Host Marriott Financial Trust,19.33,0.04,0.21%,19.52,19.19,4810400,4/24/2024
HSY,Hershey Foods Corp,188.14,1.06,0.57%,188.89,184.915,1629900,4/24/2024
HUBB,Hubbell Inc B,398.55,0.55,0.14%,408,395.26,342000,4/24/2024
HUM,Humana Inc,315.98,-12,-3.66%,336.4,309,3488900,4/24/2024
HWM,Howmet Aerospace Inc,64.7,-0.06,-0.09%,65.49,64.07,2836800,4/24/2024
IBM,International Business Machines,184.1,1.91,1.05%,184.29,181.4,7616600,4/24/2024
ICE,Intercontinental Exchange,132.57,0.24,0.18%,132.645,131.04,2498800,4/24/2024
IDXX,Idexx Laboratories,494.26,0.46,0.09%,497.4,487.88,493100,4/24/2024
IEX,Idex Corp,224.64,-7.63,-3.28%,232.25,221.9,589400,4/24/2024
IFF,International Flavors & Fragrances,85.14,-0.29,-0.34%,85.52,84.188,1066100,4/24/2024
ILMN,Illumina Inc,122.87,-1.59,-1.28%,124.74,120.82,1254600,4/24/2024
INCY,Incyte Corp,51.74,0.09,0.17%,51.83,51.14,1564400,4/24/2024
INTC,Intel Corp,34.5,0.22,0.64%,35.18,34.34,53261000,4/24/2024
INTU,Intuit Inc,635.49,4.61,0.73%,642.1,622.56,1378100,4/24/2024
INVH,Invitation Homes Inc,34.31,0.18,0.53%,34.455,33.68,1985900,4/24/2024
IP,International Paper Company,34.43,0.02,0.06%,34.56,33.92,8249600,4/24/2024
IPG,Interpublic Group of Companies,31.4,0.41,1.32%,31.67,30.5,5283700,4/24/2024
IQV,Iqvia Holdings Inc,240.84,2.22,0.93%,244.27,237.7,1505700,4/24/2024
IR,Ingersoll Rand Inc,92.5,1.93,2.13%,93.22,90.89,4269100,4/24/2024
IRM,Iron Mountain Inc,78.19,1.59,2.08%,78.46,76.1224,1095400,4/24/2024
ISRG,Intuitive Surg Inc,375.01,-2.07,-0.55%,383.62,372.83,1325600,4/24/2024
IT,Gartner Inc,451.06,0.8,0.18%,453.59,447.9,283500,4/24/2024
ITW,Illinois Tool Works Inc,251.76,1.12,0.45%,251.94,249.22,1252500,4/24/2024
IVZ,Invesco Plc,14.52,-0.06,-0.41%,14.56,14.22,8464500,4/24/2024
J,Jacobs Engineering Group Inc,143.98,-0.65,-0.45%,144.97,143.16,350100,4/24/2024
JBHT,J B Hunt Transport,164.63,-2.92,-1.74%,166.44,162.32,1139700,4/24/2024
JBL,Jabil Circuit,120.24,-0.65,-0.54%,123.85,119.8,1361100,4/24/2024
JCI,Johnson Controls Intl,64.61,-0.56,-0.86%,65.56,63.99,7309700,4/24/2024
JKHY,Jack Henry & Assoc,165.2,-1.28,-0.77%,166.52,164.34,350800,4/24/2024
JNJ,Johnson & Johnson,148.53,-1.03,-0.69%,148.99,146.86,9756200,4/24/2024
JNPR,Juniper Networks,35.36,-0.52,-1.45%,36.04,35.21,5625400,4/24/2024
JPM,JP Morgan Chase & Company,193.08,0.94,0.49%,193.23,190.17,6964900,4/24/2024
K,Kellanova,58.75,0.61,1.05%,58.79,57.32,2328500,4/24/2024
KDP,Keurig Dr Pepper Inc,32.34,0.58,1.83%,32.45,31.19,11479399,4/24/2024
KEY,Keycorp,14.93,0.21,1.43%,14.95,14.515,15084000,4/24/2024
KEYS,Keysight Technologies Inc,146.6,-0.2,-0.14%,147.66,145.4,1433700,4/24/2024
KHC,Kraft Heinz Company,38.57,0.5,1.31%,38.63,37.38,7250100,4/24/2024
KIM,Kimco Realty Corp,18.53,-0.1,-0.54%,18.65,18.395,3563100,4/24/2024
KLAC,K L A-Tencor Corp,656.54,8.33,1.29%,668.18,647.6,873400,4/24/2024
KMB,Kimberly-Clark Corp,137.78,1.74,1.28%,138.22,134.46,3551400,4/24/2024
KMI,Kinder Morgan,18.81,0.05,0.27%,18.84,18.52,12485600,4/24/2024
KMX,Carmax Inc,70.27,0.58,0.83%,70.78,69.04,2882500,4/24/2024
KO,Coca-Cola Company,61.55,0.91,1.50%,61.65,59.84,19548300,4/24/2024
KR,Kroger Company,56.15,0.52,0.93%,56.23,55.35,3619600,4/24/2024
KVUE,Kenvue Inc,19.13,-0.24,-1.24%,19.35,19.105,22713800,4/24/2024
L,Loews Corp,76.81,0.09,0.12%,76.84,75.92,515700,4/24/2024
LDOS,Leidos Holdings Inc,128.9,0.22,0.17%,130.355,128.035,828600,4/24/2024
LEN,Lennar Corp,154.12,-1.58,-1.01%,158.24,152.79,1483100,4/24/2024
LH,Laboratory Corp of America Holdings,207.94,-0.03,-0.01%,208.14,205.54,793500,4/24/2024
LHX,L3Harris Technologies Inc,207.71,0.03,0.01%,208.31,204.98,1002200,4/24/2024
LIN,Linde Plc,444.32,-0.74,-0.17%,444.61,433.38,1969100,4/24/2024
LKQ,LKQ Corp,43.28,1.63,3.91%,43.32,41.3,5642800,4/24/2024
LLY,Eli Lilly and Company,732.2,-13.49,-1.81%,752.64,728.785,2133400,4/24/2024
LMT,Lockheed Martin Corp,459.14,-0.94,-0.20%,463.69,456.06,1018800,4/24/2024
LNT,Alliant Energy Corp,50.37,0.4,0.80%,50.51,49.19,1336200,4/24/2024
LOW,Lowe's Companies,230.29,-3.27,-1.40%,232.37,228.83,1485000,4/24/2024
LRCX,Lam Research Corp,884.89,-2.53,-0.29%,915.86,882.27,1949000,4/24/2024
LULU,Lululemon Athletica,364.59,-0.09,-0.02%,368.36,361.22,1260300,4/24/2024
LUV,Southwest Airlines Company,29.3,-0.16,-0.54%,29.59,28.95,9632800,4/24/2024
LVS,Las Vegas Sands,45.84,-0.17,-0.37%,46.16,45.05,7358000,4/24/2024
LW,Lamb Weston Holdings Inc,84.52,0.8,0.96%,84.75,82.99,3187600,4/24/2024
LYB,Lyondellbasell Industries NV,100.78,0.23,0.23%,100.81,99.75,1127500,4/24/2024
LYV,Live Nation Entertainment,89.65,-0.44,-0.49%,90.605,89.33,1396700,4/24/2024
MA,Mastercard Inc,462.5,-0.32,-0.07%,468.15,460.35,4043100,4/24/2024
MAA,Mid-America Apartment Communities,128.4,0.91,0.71%,128.845,125.985,495000,4/24/2024
MAR,Marriot Int Cl A,244.06,4.37,1.82%,249.62,243.31,2301300,4/24/2024
MAS,Masco Corp,69.74,-3.27,-4.48%,71.5,68.56,4613800,4/24/2024
MCD,McDonald's Corp,276.75,-0.13,-0.05%,277.03,272.89,4071500,4/24/2024
MCHP,Microchip Technology,90.68,4.49,5.21%,91.69,89.4,7141000,4/24/2024
MCK,Mckesson Corp,535.42,3.42,0.64%,537.145,529.28,583400,4/24/2024
MCO,Moody's Corp,381.21,-0.96,-0.25%,382.5,377.6,582500,4/24/2024
MDLZ,Mondelez Intl Inc,71.31,0.56,0.79%,71.54,69.86,16596900,4/24/2024
MDT,Medtronic Inc,80.38,-0.91,-1.12%,80.83,80.01,5028800,4/24/2024
MET,Metlife Inc,72.72,0.5,0.69%,72.76,71.66,2073700,4/24/2024
META,Meta Platforms Inc,493.5,-2.6,-0.52%,510,484.58,37772602,4/24/2024
MGM,MGM Resorts International,42.71,-0.14,-0.33%,43.28,42.13,2617100,4/24/2024
MHK,Mohawk Industries,111.4,-2.04,-1.80%,113.39,110.04,534700,4/24/2024
MKC,Mccormick & Company,75.85,0.83,1.11%,76,73.68,1824400,4/24/2024
MKTX,Marketaxess Holdings,204.22,-0.55,-0.27%,205.23,201.32,252900,4/24/2024
MLM,Martin Marietta Materials,591.82,-2.57,-0.43%,598.65,585.14,331800,4/24/2024
MMC,Marsh & Mclennan Companies,200.95,-0.76,-0.38%,201.51,199.365,1614100,4/24/2024
MMM,3M Company,92.02,-0.98,-1.05%,93.23,91.4185,3813300,4/24/2024
MNST,Monster Beverage Cp,54.33,0.6,1.12%,54.87,53,6944700,4/24/2024
MO,Altria Group,42.92,0.05,0.12%,43.055,42.4,12938200,4/24/2024
MOH,Molina Healthcare Inc,367.41,4.19,1.15%,368.35,361.74,461100,4/24/2024
MOS,Mosaic Company,30.49,0.08,0.26%,30.54,30.11,3509200,4/24/2024
MPC,Marathon Petroleum Corp,199.14,-0.51,-0.26%,199.46,195.03,1473200,4/24/2024
MPWR,Monolithic Power Sys,642.21,30.84,5.04%,655.23,628.26,768900,4/24/2024
MRK,Merck & Company,127,0.12,0.09%,127.59,125.35,7128300,4/24/2024
MRNA,Moderna Inc,108.85,0.96,0.89%,111.29,106.64,3410200,4/24/2024
MRO,Marathon Oil Corp,27.53,-0.29,-1.04%,27.7399,27.395,5977500,4/24/2024
MS,Morgan Stanley,93.85,0.09,0.10%,94.07,93.03,5100800,4/24/2024
